name,latitude,longitude,population
Ponto 1,-22.9083,-43.1964,5000
Ponto 2,-22.9711,-43.1822,8000
Ponto 3,-22.9245,-43.2417,6500
Ponto 4,-22.9001,-43.2104,4200
Ponto 5,-22.8894,-43.1937,7100
Ponto 6,-22.9168,-43.1765,5300
Ponto 7,-22.9312,-43.2248,6900
Ponto 8,-22.9443,-43.2095,4700
Ponto 9,-22.9526,-43.1857,5600
Ponto 10,-22.9638,-43.1684,7800
Ponto 11,-22.8765,-43.1578,6100
Ponto 12,-22.8841,-43.2146,4500
Ponto 13,-22.8928,-43.2395,9000
Ponto 14,-22.9054,-43.1493,3400
Ponto 15,-22.9189,-43.1328,7200
Ponto 16,-22.9365,-43.1542,6100
Ponto 17,-22.9482,-43.2305,8400
Ponto 18,-22.9591,-43.2486,5500
Ponto 19,-22.9704,-43.2218,9600
Ponto 20,-22.9786,-43.1989,6700
Ponto 21,-22.9478,-43.2543,3100
Ponto 22,-22.8631,-43.2186,4300
Ponto 23,-22.9824,-43.1658,8800
Ponto 24,-22.8897,-43.2671,5200
Ponto 25,-22.9565,-43.1423,6000
Ponto 26,-22.8728,-43.2479,7600
Ponto 27,-22.9912,-43.2144,5800
Ponto 28,-22.8426,-43.1869,4900
Ponto 29,-22.9317,-43.2785,8100
Ponto 30,-22.9781,-43.1288,6900
